key,en,zh,context,category
app.title,Hex Oracle,易经占卜,Application title,general
app.subtitle,I Ching Divination,周易占卜,Application subtitle,general
app.tagline,Ancient Wisdom for Modern Seekers,古老智慧，现代启迪,Application tagline,general
nav.history,History,历史记录,Navigation link,navigation
nav.language,Language,语言,Navigation link,navigation
theme.zen,Zen,禅道,Theme name,theme
theme.fengshui,Fengshui,风水,Theme name,theme
intro.title,Ask the Oracle,问卦神谕,Intro page title,intro
intro.subtitle,易经占卜 • Ancient Wisdom for Modern Seekers,易经占卜 • 古老智慧 现代启迪,Intro subtitle,intro
intro.howItWorks,How It Works,如何运作,Section title,intro
intro.step1.title,Focus on your question.,专注于你的问题,Step 1 title,intro
intro.step1.desc,Hold it silently in your mind as you prepare to cast.,在准备占卜时将问题默默记在心中,Step 1 description,intro
intro.step2.title,Cast the coins.,投掷铜钱,Step 2 title,intro
intro.step2.desc,Use three ancient coins to generate six lines forming your hexagram.,用三枚古钱币生成六爻，构成你的卦象,Step 2 description,intro
intro.step3.title,Receive guidance.,获得指引,Step 3 title,intro
intro.step3.desc,Get an initial reading and unlock deeper insights.,获得初步解读并解锁更深层的洞察,Step 3 description,intro
intro.beginButton,Begin Casting,开始占卜,Begin button text,intro
intro.description,The I Ching (Yijing) has guided seekers for over 3000 years.,易经已为求道者指引方向超过3000年,Description line 1,intro
intro.description2,Let its ancient wisdom illuminate your path forward.,让古老的智慧照亮你前行的道路,Description line 2,intro
cast.title,Cast Your Hexagram,投掷你的卦象,Casting page title,casting
cast.subtitle,Focus on your question as the coins are thrown,投掷铜钱时专注于你的问题,Casting subtitle,casting
cast.chooseMethod,Choose Casting Method,选择占卜方式,Section title,casting
cast.autoMode.title,Auto Cast,自动占卜,Auto mode title,casting
cast.autoMode.desc,Cast all six lines at once automatically,自动一次性投掷所有六爻,Auto mode description,casting
cast.manualMode.title,Manual Cast,手动占卜,Manual mode title,casting
cast.manualMode.desc,Cast one line at a time with each shake,每次摇动投掷一爻,Manual mode description,casting
cast.animation.title,Animation,动画效果,Animation section title,casting
cast.animation.enabled,Show coin animation,显示铜钱动画,Animation enabled option,casting
cast.animation.disabled,Fast mode (no animation),快速模式（无动画）,Animation disabled option,casting
cast.animation.btnEnabled,Enabled,已启用,Animation button enabled,casting
cast.animation.btnDisabled,Disabled,已禁用,Animation button disabled,casting
cast.progress,Progress,进度,Progress label,casting
